integrateCrit
    Result	       Time	 Acceleration
   128.023	 0.00336437	     4.0698
   128.023	 0.00333308	    4.10801
   128.023	 0.00329482	    4.15571
   128.023	 0.00327475	    4.18118
   128.023	 0.00334916	    4.08828
   128.023	  0.0032024	    4.27564

fib
    Result	       Time	 Acceleration
        55	 9.1738e-05	         1
        55	 0.000117867	   0.778318
        55	 0.000743053	   0.123461
        55	 0.000127828	   0.717667
        55	 0.000113152	    0.81075
        55	 0.00012342	   0.743299
        55	 0.000125723	   0.729684
        55	 0.000131181	   0.699324
        55	 0.000127687	    0.71846
        55	 0.000130516	   0.702887
        55	 0.000127531	   0.719339
        55	 0.000135575	   0.676659
        55	 0.00017806	   0.515208
        55	 0.000191989	   0.477829
        55	 0.00017087	   0.536888
        55	 0.000180941	   0.507005
        55	 0.000178648	   0.513513
        55	 0.000196285	   0.467371
        55	 0.000192009	    0.47778
        55	 0.00018629	   0.492447
        55	 0.00019309	   0.475105
        55	 0.00019545	   0.469368
        55	 0.000203483	   0.450839
        55	 0.000214507	   0.427669

integrate reduction c++
    Result	       Time	 Acceleration
  0.666667	   0.356573	         1
  0.666667	   0.178247	    2.00044
  0.666667	   0.118586	    3.00688
  0.666667	  0.0889803	    4.00732
  0.666667	  0.0711601	    5.01086
  0.666667	  0.0593033	    6.01271
  0.666667	  0.0508213	    7.01621
  0.666667	  0.0444778	    8.01688
  0.666667	  0.0395839	    9.00804
  0.666667	  0.0356318	    10.0072
  0.666667	  0.0323829	    11.0112
  0.666667	  0.0296958	    12.0075
  0.666667	  0.0481623	    7.40357
  0.666667	  0.0509512	    6.99832
  0.666667	  0.0475508	    7.49878
  0.666667	  0.0445913	    7.99648
  0.666667	  0.0419581	     8.4983
  0.666667	  0.0395881	    9.00707
  0.666667	  0.0420021	    8.48942
  0.666667	  0.0356509	    10.0018
  0.666667	  0.0339467	    10.5039
  0.666667	  0.0324029	    11.0044
  0.666667	  0.0310024	    11.5015
  0.666667	  0.0296991	    12.0062

